PassengerId,Survived
892,no
893,yes
894,no
895,no
896,yes
897,no
898,yes
899,no
900,yes
901,no
902,no
903,no
904,yes
905,no
906,yes
907,yes
908,no
909,no
910,yes
911,yes
912,no
913,no
914,yes
915,no
916,yes
917,no
918,yes
919,no
920,no
921,no
922,no
923,no
924,yes
925,yes
926,no
927,no
928,yes
929,yes
930,no
931,no
932,no
933,no
934,no
935,yes
936,yes
937,no
938,no
939,no
940,yes
941,yes
942,no
943,no
944,yes
945,yes
946,no
947,no
948,no
949,no
950,no
951,yes
952,no
953,no
954,no
955,yes
956,no
957,yes
958,yes
959,no
960,no
961,yes
962,yes
963,no
964,yes
965,no
966,yes
967,no
968,no
969,yes
970,no
971,yes
972,no
973,no
974,no
975,no
976,no
977,no
978,yes
979,yes
980,yes
981,no
982,yes
983,no
984,yes
985,no
986,no
987,no
988,yes
989,no
990,yes
991,no
992,yes
993,no
994,no
995,no
996,yes
997,no
998,no
999,no
1000,no
1001,no
1002,no
1003,yes
1004,yes
1005,yes
1006,yes
1007,no
1008,no
1009,yes
1010,no
1011,yes
1012,yes
1013,no
1014,yes
1015,no
1016,no
1017,yes
1018,no
1019,yes
1020,no
1021,no
1022,no
1023,no
1024,yes
1025,no
1026,no
1027,no
1028,no
1029,no
1030,yes
1031,no
1032,yes
1033,yes
1034,no
1035,no
1036,no
1037,no
1038,no
1039,no
1040,no
1041,no
1042,yes
1043,no
1044,no
1045,yes
1046,no
1047,no
1048,yes
1049,yes
1050,no
1051,yes
1052,yes
1053,no
1054,yes
1055,no
1056,no
1057,yes
1058,no
1059,no
1060,yes
1061,yes
1062,no
1063,no
1064,no
1065,no
1066,no
1067,yes
1068,yes
1069,no
1070,yes
1071,yes
1072,no
1073,no
1074,yes
1075,no
1076,yes
1077,no
1078,yes
1079,no
1080,yes
1081,no
1082,no
1083,no
1084,no
1085,no
1086,no
1087,no
1088,no
1089,yes
1090,no
1091,yes
1092,yes
1093,no
1094,no
1095,yes
1096,no
1097,no
1098,yes
1099,no
1100,yes
1101,no
1102,no
1103,no
1104,no
1105,yes
1106,yes
1107,no
1108,yes
1109,no
1110,yes
1111,no
1112,yes
1113,no
1114,yes
1115,no
1116,yes
1117,yes
1118,no
1119,yes
1120,no
1121,no
1122,no
1123,yes
1124,no
1125,no
1126,no
1127,no
1128,no
1129,no
1130,yes
1131,yes
1132,yes
1133,yes
1134,no
1135,no
1136,no
1137,no
1138,yes
1139,no
1140,yes
1141,yes
1142,yes
1143,no
1144,no
1145,no
1146,no
1147,no
1148,no
1149,no
1150,yes
1151,no
1152,no
1153,no
1154,yes
1155,yes
1156,no
1157,no
1158,no
1159,no
1160,yes
1161,no
1162,no
1163,no
1164,yes
1165,yes
1166,no
1167,yes
1168,no
1169,no
1170,no
1171,no
1172,yes
1173,no
1174,yes
1175,yes
1176,yes
1177,no
1178,no
1179,no
1180,no
1181,no
1182,no
1183,yes
1184,no
1185,no
1186,no
1187,no
1188,yes
1189,no
1190,no
1191,no
1192,no
1193,no
1194,no
1195,no
1196,yes
1197,yes
1198,no
1199,no
1200,no
1201,yes
1202,no
1203,no
1204,no
1205,yes
1206,yes
1207,yes
1208,no
1209,no
1210,no
1211,no
1212,no
1213,no
1214,no
1215,no
1216,yes
1217,no
1218,yes
1219,no
1220,no
1221,no
1222,yes
1223,no
1224,no
1225,yes
1226,no
1227,no
1228,no
1229,no
1230,no
1231,no
1232,no
1233,no
1234,no
1235,yes
1236,no
1237,yes
1238,no
1239,yes
1240,no
1241,yes
1242,yes
1243,no
1244,no
1245,no
1246,yes
1247,no
1248,yes
1249,no
1250,no
1251,yes
1252,no
1253,yes
1254,yes
1255,no
1256,yes
1257,yes
1258,no
1259,yes
1260,yes
1261,no
1262,no
1263,yes
1264,no
1265,no
1266,yes
1267,yes
1268,yes
1269,no
1270,no
1271,no
1272,no
1273,no
1274,yes
1275,yes
1276,no
1277,yes
1278,no
1279,no
1280,no
1281,no
1282,no
1283,yes
1284,no
1285,no
1286,no
1287,yes
1288,no
1289,yes
1290,no
1291,no
1292,yes
1293,no
1294,yes
1295,no
1296,no
1297,no
1298,no
1299,no
1300,yes
1301,yes
1302,yes
1303,yes
1304,yes
1305,no
1306,yes
1307,no
1308,no
1309,no
